ticker,transaction_date,num_buy_transactions,total_shares_bought,total_value_bought,has_officer_buy,has_director_buy,has_ten_pct_owner_buy,avg_transaction_value
PFXNZ,2025-12-24,4,3044.0,137732.59,1,1,0,34433.1475
PGIWX,2025-11-24,2,3545.53,88000.0546,0,1,0,44000.0273
PGNY,2025-11-13,1,79500.0,1931055.0,1,1,0,1931055.0
PGZ,2025-11-10,1,10000.0,103490.23999999999,0,0,0,103490.23999999999
PHIO,2025-11-21,2,10000.0,12050.0,1,1,0,6025.0
PHIO,2025-12-23,1,5000.0,5100.0,1,1,0,5100.0
PHXE-P,2025-09-29,9,20500.0,410000.0,1,1,0,45555.555555555555
PKOH,2025-11-12,1,600.0,11850.0,0,1,0,11850.0
PLCE,2025-10-08,1,7143.0,50001.0,1,1,0,50001.0
PLUG,2025-12-15,1,37300.0,87282.0,1,0,0,87282.0
PLUR,2025-04-28,1,452702.0,2086956.2200000002,0,1,0,2086956.2200000002
PLX,2025-12-19,1,56000.0,101360.0,1,1,0,101360.0
PML,2025-12-08,1,2819.0,21593.54,0,1,0,21593.54
PMN,2025-10-03,1,30392.0,14892.08,0,0,0,14892.08
PMT-PC,2025-10-24,1,1469.85,18622.9995,0,1,0,18622.9995
PMT-PC,2025-11-17,1,10000.0,124000.0,1,1,0,124000.0
PMTS,2025-12-04,2,210000.0,2844000.0,0,1,0,1422000.0
PNFP,2025-10-20,1,5000.0,438150.0,0,1,0,438150.0
PNNT,2025-12-01,1,4235.0,25028.850000000002,0,1,0,25028.850000000002
PODC,2025-11-26,3,29073.0,65523.310000000005,0,1,0,21841.103333333336
PODC,2025-12-16,2,11800.0,25000.0,0,1,0,12500.0
PODD,2025-12-05,1,962.0,299884.26,0,1,0,299884.26
POST,2025-11-24,1,1800.0,176274.0,0,1,0,176274.0
PPRUX,2025-11-03,1,2080.58,62999.9624,0,1,0,62999.9624
PPRUX,2025-11-24,2,2897.6,88000.11200000001,0,1,0,44000.056000000004
PPSI,2025-11-18,1,10000.0,33900.0,1,1,0,33900.0
PRAA,2025-11-06,1,15000.0,212250.0,0,1,0,212250.0
Q,2025-11-21,1,3240.0,250452.0,0,1,0,250452.0
QNRX,2025-10-14,1,15152.0,128640.48000000001,0,1,0,128640.48000000001
RANI,2025-10-23,1,2083334.0,1270833.74,0,1,0,1270833.74
REFI,2025-10-01,1,7500.0,93225.0,1,1,0,93225.0
