ticker,cik,transaction_date,is_buy,shares,price_per_share,transaction_value,is_officer,is_director,is_ten_pct_owner,officer_title,ownership_type,accession_number,close,return_7td,excess_return_7td
LQDA,1819576,2025-11-07,0,20662.0,25.06,517789.72,1,0,0,Chief Accounting Officer,D,0001104659-25-110435,26.09000015258789,0.15753164378360066,0.17409923142249717
LQDA,1819576,2025-11-07,0,8342.0,25.16,209884.72,1,0,0,Chief Accounting Officer,D,0001104659-25-110435,26.09000015258789,0.15753164378360066,0.17409923142249717
LQDA,1819576,2025-11-18,0,35656.0,30.03,1070749.68,1,0,0,Chief Business Officer,D,0001104659-25-114634,30.200000762939453,0.08046358423135558,0.04543882712607042
LQDA,1819576,2025-12-01,0,1072.0,32.19,34507.68,1,0,0,General Counsel,D,0001104659-25-117743,32.04999923706055,0.019656820065903212,0.008787259522834438
LQDA,1819576,2025-12-01,0,221.0,32.19,7113.99,1,0,0,Chief Human Resource Officer,D,0001104659-25-117741,32.04999923706055,0.019656820065903212,0.008787259522834438
LQDA,1819576,2025-12-01,0,1166.0,32.19,37533.54,1,0,0,CFO and COO,D,0001104659-25-117739,32.04999923706055,0.019656820065903212,0.008787259522834438
LQDA,1819576,2025-12-01,0,303.0,32.19,9753.57,1,0,0,Chief Accounting Officer,D,0001104659-25-117737,32.04999923706055,0.019656820065903212,0.008787259522834438
LQDA,1819576,2025-12-01,0,693.0,32.19,22307.67,1,0,0,Chief Business Officer,D,0001104659-25-117734,32.04999923706055,0.019656820065903212,0.008787259522834438
LQDA,1819576,2025-12-01,0,831.0,32.19,26749.89,1,0,0,Chief Commercial Officer,D,0001104659-25-117733,32.04999923706055,0.019656820065903212,0.008787259522834438
LQDT,1235468,2025-11-24,0,4500.0,28.67,129015.00000000001,0,1,0,,D,0001085715-25-000005,28.780000686645508,0.03856840432661946,0.01589916092106549
LQDT,1235468,2025-11-24,0,290.0,28.26,8195.4,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000008,28.780000686645508,0.03856840432661946,0.01589916092106549
