ticker,transaction_date,num_buy_transactions,total_shares_bought,total_value_bought,has_officer_buy,has_director_buy,has_ten_pct_owner_buy,avg_transaction_value,close,return_7td,excess_return_7td,total_shares_count,shares_traded_pct,label_7td
GHY,2023-11-21,1,7926.0,87027.48000000001,0,1,0,87027.48000000001,8.761448860168457,0.019091231184782485,0.006654567639412908,40953530.0,0.019353643019295284,0
GHY,2023-12-07,1,1239.0,14099.820000000002,0,0,0,14099.820000000002,9.080048561096191,0.02335439282832347,-0.0104406521111992,40953530.0,0.0030253802297384377,0
GHY,2025-05-30,1,9239.0,122231.97,0,0,0,122231.97,12.293879508972168,0.003023566629511739,-0.018479610710208677,40953530.0,0.022559715853554017,0
GIFI,2022-08-22,2,7000.0,27420.0,0,1,0,13710.0,3.930000066757202,0.03562343575726563,0.07984544306285772,15998611.0,0.04375379837662157,1
GIFI,2023-11-14,1,10000.0,39700.0,0,1,0,39700.0,3.9800000190734863,0.05778894923900744,0.043633279227058085,15998611.0,0.06250542625231653,0
GIFT,2024-09-09,1,1000.0,2950.0,1,0,0,2950.0,3.0799999237060547,0.12012991335806694,0.09322283588796731,30963913.0,0.0032295659789510454,1
GIFT,2024-10-18,6,96240.0,1309372150.0,1,1,0,218228691.66666666,1.4900000095367432,0.1610738308729016,0.1664876052920848,30963913.0,0.31081342981424864,1
GIFT,2025-01-30,1,2350.0,2209.0,1,1,0,2209.0,0.9380000233650208,0.1727078853321043,0.17348697412876396,30963913.0,0.0075894800505349564,1
GIFT,2025-08-22,4,24201.0,25660.25,1,1,0,6415.0625,1.090000033378601,-0.027523018055394696,-0.024639045621205988,30963913.0,0.07815872625659424,0
GIII,2022-12-05,3,279270.0,3506534.0,1,1,0,1168844.6666666667,12.220968246459961,0.1419249147886936,0.14280517492760472,42189287.0,0.661945294311326,1
GIII,2025-06-17,1,23076.0,492211.07999999996,1,1,0,492211.07999999996,21.511295318603516,0.0352177677934449,0.0034012023283370926,42189287.0,0.05469634981032034,0
GIII,2025-06-24,1,5000.0,109750.0,0,1,0,109750.0,21.939926147460938,0.05588367742227137,0.025160698706199882,42189287.0,0.01185134984622992,0
GLAD,2022-02-22,1,230.0,2495.5,1,0,0,2495.5,15.14209270477295,0.010119832078266064,-0.003523314565823849,22593069.0,0.0010180113201973579,0
GLAD,2025-11-20,1,496.0,9999.36,1,0,0,9999.36,19.7004451751709,0.03870968553953559,-0.005734576366257536,22593069.0,0.002195363542686476,0
GLBZ,2023-11-06,1,1000.0,5523.34,1,1,0,5523.34,5.21791934967041,-0.056159363671172836,-0.08751541728483413,2919695.0,0.03425015284130706,0
